ID,Mnemonic,GenusSpecies
222,PINASY,Pinanga sylvestris
159,PLATLA,Platea latifolia
160,PLATMA,Platymitra macrocarpa
161,PODOIM,Podocarpus imbricatus
162,PODONE,Podocarpus neriifolius
163,POLYAF,Polyalthia affevecta
165,POLYCF,Polyosma cf. integrifolia
299,POLYKH,Polyalthia khaoyaiensis
164,POLYSI,Polyalthia simiarum
329,POLYSP,Polyalthia sp.
290,POLYVI,Polyalthia viridis
167,POUTST,Pouteria stellibacca
214,PRISTE,Prismatomeris tetrandra
168,PRUNAR,Prunus arborea
169,PRUNJA,Prunus javanica
236,PSEUSE,Pseudodissochaeta septentrionalis
253,PSYCOP,Psychotria ophioxyloides
204,PSYCRU,Psychotria rubra
171,PTERCI,Pterospermum cinnamomeum
170,PTERTI,Pterocymbium tinctorium
121,QUERQU,Quercus quangtriensis
172,RADEIG,Radermachera ignea
173,RAPAYU,Rapanea yunnanensis
174,RHUSRH,Rhus rhetsoides
175,SANDKO,Sandoricum koetjape
209,SAPRLO,Saprosma longifolium
176,SARCAR,Sarcosperma arboreum
177,SAURRO,Saurauia roxburghii
241,SCHEEL,Schefflera elliptica
178,SCHEHE,Schefflera heptaphylla
179,SCHIWA,Schima wallichii
180,SCLEPE,Scleropyrum pentandrum
181,SHORHE,Shorea henryana
182,SLOASI,Sloanea sigun
183,STERBA,Sterculia balanghas
258,STERFI,Stereospermum fimbriatum
184,STERGU,Sterculia guttata
269,STERLA,Sterculia lanceolata
248,SUMBAL,Sumbaviopsis albicans
185,SYMPCO,Symplocos cochinchinensis
320,SYMPRA,Symplocos racemosa
285,SYMPSP,Symplocos sp1
186,SYMPSU,Symplocos sumuntia
300,SYZYCI,Syzygium cinereum
301,SYZYGR,Syzygium grande
302,SYZYNE,Syzygium nervosum
251,TAREQU,Tarenna quocensis
286,TARESP,Tarenna sp1
190,TAREWA,Tarennoidea wallichii
256,TERNGY,Ternstroemia gymnanthera
191,TERNWA,Ternstroemia wallichiana
192,TETRGL,Tetradium glabrifolium
193,TETRNU,Tetrameles nudiflora
194,TOONCI,Toona ciliata
195,TREMOR,Trema orientalis
196,TRIACO,Triadica cochinchinensis
197,TURPCO,Turpinia cochinchinensis
999,UNIDEN,Unidentified Unidentified
198,VIBUCY,Viburnum cylindricum
199,VITEQU,Vitex quinata
255,WALSPI,Walsura pinnata
200,WALSRO,Walsura robusta
257,WRIGAR,Wrightia arborea
201,XANTVI,Xanthophyllum virens
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
